subset,n_in_subset,category,instance,n_postings,pct_of_subset
mid_market,18,streaming,pubsub,1,5.6
mid_market,18,bi,tableau,4,22.2
mid_market,18,bi,powerbi,2,11.1
mid_market,18,bi,sigma,2,11.1
mid_market,18,bi,metabase,2,11.1
mid_market,18,bi,looker,2,11.1
mid_market,18,bi,mode,1,5.6
mid_market,18,bi,preset_superset,1,5.6
mid_market,18,catalog_governance,unity_catalog,1,5.6
mid_market,18,observability_dq,monte_carlo,2,11.1
mid_market,18,observability_dq,great_expectations,1,5.6
mid_market,18,observability_dq,dbt_tests,1,5.6
mid_market,18,iac,terraform,10,55.6
mid_market,18,iac,pulumi,1,5.6
mid_market,18,cicd,github_actions,2,11.1
mid_market,18,experiment_tracking,mlflow,1,5.6
mid_market,18,model_serving,cloud_run,1,5.6
mid_market,18,vector_db,elasticsearch,1,5.6
mid_market,18,rag_framework,none_explicit,1,5.6
mid_market,18,ml_eval,custom,1,5.6
